"Dist Code","Year","State Code","State Name","Dist Name","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)"
"1","2008","14","Chhattisgarh","Durg","70.14","66.01","941.19"
"1","2009","14","Chhattisgarh","Durg","72.21","64.92","898.97"
"1","2010","14","Chhattisgarh","Durg","91.77","105.41","1148.66"
"1","2011","14","Chhattisgarh","Durg","87.07","69.83","802.03"
"1","2012","14","Chhattisgarh","Durg","85.05","101.62","1194.76"
"1","2013","14","Chhattisgarh","Durg","92.28","92.65","1003.99"
"1","2014","14","Chhattisgarh","Durg","85.84","39.93","465.22"
"1","2015","14","Chhattisgarh","Durg","98.2","49.1","500.02"
"1","2016","14","Chhattisgarh","Durg","81.71","60.69","742.71"
"1","2017","14","Chhattisgarh","Durg","77.4","25.02","323.3"
"2","2008","14","Chhattisgarh","Bastar","0.03","0.05","1666.67"
"2","2009","14","Chhattisgarh","Bastar","0.02","0.03","1500.0"
"2","2010","14","Chhattisgarh","Bastar","0.0","0.0","0.0"
"2","2011","14","Chhattisgarh","Bastar","0.03","0.03","1000.0"
"2","2012","14","Chhattisgarh","Bastar","0.03","0.04","1333.33"
"2","2013","14","Chhattisgarh","Bastar","0.01","0.01","1000.0"
"2","2014","14","Chhattisgarh","Bastar","0.03","0.03","1000.0"
"2","2015","14","Chhattisgarh","Bastar","0.01","0.0","555.56"
"2","2016","14","Chhattisgarh","Bastar","0.01","0.01","1000.0"
"2","2017","14","Chhattisgarh","Bastar","0.02","0.01","380.95"
"3","2008","14","Chhattisgarh","Raipur","0.53","0.71","1339.62"
"3","2009","14","Chhattisgarh","Raipur","0.46","0.53","1152.17"
"3","2010","14","Chhattisgarh","Raipur","0.5","0.8","1600.0"
"3","2011","14","Chhattisgarh","Raipur","0.48","0.44","916.67"
"3","2012","14","Chhattisgarh","Raipur","0.49","0.94","1918.37"
"3","2013","14","Chhattisgarh","Raipur","0.35","0.57","1628.57"
"3","2014","14","Chhattisgarh","Raipur","0.42","0.47","1119.05"
"3","2015","14","Chhattisgarh","Raipur","0.41","0.35","874.38"
"3","2016","14","Chhattisgarh","Raipur","0.38","0.43","1115.49"
"3","2017","14","Chhattisgarh","Raipur","0.15","0.09","558.44"
"4","2008","14","Chhattisgarh","Bilaspur","10.95","12.98","1184.9"
"4","2009","14","Chhattisgarh","Bilaspur","10.93","12.3","1125.9"
"4","2010","14","Chhattisgarh","Bilaspur","13.93","18.19","1305.61"
"4","2011","14","Chhattisgarh","Bilaspur","15.56","14.29","918.21"
"4","2012","14","Chhattisgarh","Bilaspur","15.85","23.47","1481.15"
"4","2013","14","Chhattisgarh","Bilaspur","15.07","18.59","1233.7"
"4","2014","14","Chhattisgarh","Bilaspur","16.48","9.6","582.25"
"4","2015","14","Chhattisgarh","Bilaspur","16.24","9.07","558.26"
"4","2016","14","Chhattisgarh","Bilaspur","14.01","14.19","1012.86"
"4","2017","14","Chhattisgarh","Bilaspur","13.94","5.17","371.22"
"5","2008","14","Chhattisgarh","Raigarh","0.03","0.03","1000.0"
"5","2009","14","Chhattisgarh","Raigarh","0.02","0.02","1000.0"
"5","2010","14","Chhattisgarh","Raigarh","0.0","0.0","0.0"
"5","2011","14","Chhattisgarh","Raigarh","0.01","0.0","0.0"
"5","2012","14","Chhattisgarh","Raigarh","0.0","0.0","0.0"
"5","2013","14","Chhattisgarh","Raigarh","0.0","0.0","0.0"
"5","2014","14","Chhattisgarh","Raigarh","0.01","0.0","0.0"
"5","2015","14","Chhattisgarh","Raigarh","0.01","0.0","428.57"
"5","2016","14","Chhattisgarh","Raigarh","0.01","0.01","769.23"
"5","2017","14","Chhattisgarh","Raigarh","0.0","0.0","600.0"
"6","2008","14","Chhattisgarh","Surguja","0.08","0.07","875.0"
"6","2009","14","Chhattisgarh","Surguja","0.09","0.05","555.56"
"6","2010","14","Chhattisgarh","Surguja","0.1","0.0","0.0"
"6","2011","14","Chhattisgarh","Surguja","0.09","0.06","666.67"
"6","2012","14","Chhattisgarh","Surguja","0.04","0.05","1250.0"
"6","2013","14","Chhattisgarh","Surguja","0.06","0.04","666.67"
"6","2014","14","Chhattisgarh","Surguja","0.06","0.03","500.0"
"6","2015","14","Chhattisgarh","Surguja","0.12","0.05","379.03"
"6","2016","14","Chhattisgarh","Surguja","0.12","0.06","530.43"
"6","2017","14","Chhattisgarh","Surguja","0.04","0.01","300.0"
"7","2008","6","Madhya Pradesh","Jabalpur","4.4","5.1","1159.09"
"7","2009","6","Madhya Pradesh","Jabalpur","3.1","3.4","1096.77"
"7","2010","6","Madhya Pradesh","Jabalpur","4.6","6.1","1326.09"
"7","2011","6","Madhya Pradesh","Jabalpur","5.9","5.3","898.31"
"7","2012","6","Madhya Pradesh","Jabalpur","16.77","21.95","1308.88"
"7","2013","6","Madhya Pradesh","Jabalpur","44.12","13.23","299.86"
"7","2014","6","Madhya Pradesh","Jabalpur","54.0","62.0","1148.15"
"7","2015","6","Madhya Pradesh","Jabalpur","17.0","12.0","705.88"
"7","2016","6","Madhya Pradesh","Jabalpur","3.0","3.0","1000.0"
"7","2017","6","Madhya Pradesh","Jabalpur","8.7","5.78","664.37"
"8","2008","6","Madhya Pradesh","Balaghat","0.1","0.1","1000.0"
"8","2009","6","Madhya Pradesh","Balaghat","0.1","0.1","1000.0"
"8","2010","6","Madhya Pradesh","Balaghat","0.1","0.1","1000.0"
"8","2011","6","Madhya Pradesh","Balaghat","0.1","0.2","2000.0"
"8","2012","6","Madhya Pradesh","Balaghat","0.04","0.06","1500.0"
"8","2013","6","Madhya Pradesh","Balaghat","0.05","0.03","600.0"
"8","2014","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0"
"8","2015","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0"
"8","2016","6","Madhya Pradesh","Balaghat","0.0","0.0","0.0"
"8","2017","6","Madhya Pradesh","Balaghat","0.01","0.01","1000.0"
"9","2008","6","Madhya Pradesh","Chhindwara","147.9","176.5","1193.37"
"9","2009","6","Madhya Pradesh","Chhindwara","157.2","266.0","1692.11"
"9","2010","6","Madhya Pradesh","Chhindwara","161.6","288.6","1785.89"
"9","2011","6","Madhya Pradesh","Chhindwara","184.7","320.8","1736.87"
"9","2012","6","Madhya Pradesh","Chhindwara","153.73","382.55","2488.45"
"9","2013","6","Madhya Pradesh","Chhindwara","150.01","115.41","769.35"
"9","2014","6","Madhya Pradesh","Chhindwara","99.0","116.0","1171.72"
"9","2015","6","Madhya Pradesh","Chhindwara","96.0","85.0","885.42"
"9","2016","6","Madhya Pradesh","Chhindwara","73.0","96.0","1315.07"
"9","2017","6","Madhya Pradesh","Chhindwara","28.0","49.95","1783.93"
"10","2008","6","Madhya Pradesh","Narsinghpur","75.0","116.4","1552.0"
"10","2009","6","Madhya Pradesh","Narsinghpur","79.7","148.9","1868.26"
"10","2010","6","Madhya Pradesh","Narsinghpur","71.0","138.3","1947.89"
"10","2011","6","Madhya Pradesh","Narsinghpur","99.2","155.8","1570.56"
"10","2012","6","Madhya Pradesh","Narsinghpur","94.14","168.38","1788.61"
"10","2013","6","Madhya Pradesh","Narsinghpur","101.85","40.11","393.81"
"10","2014","6","Madhya Pradesh","Narsinghpur","85.0","111.0","1305.88"
"10","2015","6","Madhya Pradesh","Narsinghpur","68.0","49.0","720.59"
"10","2016","6","Madhya Pradesh","Narsinghpur","52.0","72.0","1384.62"
"10","2017","6","Madhya Pradesh","Narsinghpur","43.5","13.62","313.1"
"11","2008","6","Madhya Pradesh","Seoni / Shivani","113.5","119.8","1055.51"
"11","2009","6","Madhya Pradesh","Seoni / Shivani","113.2","123.4","1090.11"
"11","2010","6","Madhya Pradesh","Seoni / Shivani","120.2","136.6","1136.44"
"11","2011","6","Madhya Pradesh","Seoni / Shivani","117.8","113.4","962.65"
"11","2012","6","Madhya Pradesh","Seoni / Shivani","118.99","147.69","1241.2"
"11","2013","6","Madhya Pradesh","Seoni / Shivani","106.49","27.47","257.96"
"11","2014","6","Madhya Pradesh","Seoni / Shivani","80.0","103.0","1287.5"
"11","2015","6","Madhya Pradesh","Seoni / Shivani","33.0","21.0","636.36"
"11","2016","6","Madhya Pradesh","Seoni / Shivani","26.0","36.0","1384.62"
"11","2017","6","Madhya Pradesh","Seoni / Shivani","31.0","2.73","88.06"
"12","2008","6","Madhya Pradesh","Mandla","7.9","5.6","708.86"
"12","2009","6","Madhya Pradesh","Mandla","8.1","5.5","679.01"
"12","2010","6","Madhya Pradesh","Mandla","8.7","7.6","873.56"
"12","2011","6","Madhya Pradesh","Mandla","11.9","6.6","554.62"
"12","2012","6","Madhya Pradesh","Mandla","9.84","5.94","603.66"
"12","2013","6","Madhya Pradesh","Mandla","9.12","5.91","648.03"
"12","2014","6","Madhya Pradesh","Mandla","21.0","25.0","1190.48"
"12","2015","6","Madhya Pradesh","Mandla","13.0","15.0","1153.85"
"12","2016","6","Madhya Pradesh","Mandla","11.0","14.0","1272.73"
"12","2017","6","Madhya Pradesh","Mandla","12.2","11.29","925.41"
"13","2008","6","Madhya Pradesh","Sagar","303.0","270.6","893.07"
"13","2009","6","Madhya Pradesh","Sagar","308.5","282.0","914.1"
"13","2010","6","Madhya Pradesh","Sagar","303.6","406.2","1337.94"
"13","2011","6","Madhya Pradesh","Sagar","273.0","271.3","993.77"
"13","2012","6","Madhya Pradesh","Sagar","335.22","438.46","1307.98"
"13","2013","6","Madhya Pradesh","Sagar","351.74","149.84","426.0"
"13","2014","6","Madhya Pradesh","Sagar","149.0","188.0","1261.74"
"13","2015","6","Madhya Pradesh","Sagar","314.0","246.0","783.44"
"13","2016","6","Madhya Pradesh","Sagar","290.0","155.0","534.48"
"13","2017","6","Madhya Pradesh","Sagar","216.2","127.13","588.02"
"14","2008","6","Madhya Pradesh","Damoh","93.0","109.4","1176.34"
"14","2009","6","Madhya Pradesh","Damoh","91.0","101.8","1118.68"
"14","2010","6","Madhya Pradesh","Damoh","62.1","85.9","1383.25"
"14","2011","6","Madhya Pradesh","Damoh","73.0","90.5","1239.73"
"14","2012","6","Madhya Pradesh","Damoh","102.71","129.91","1264.82"
"14","2013","6","Madhya Pradesh","Damoh","128.58","64.84","504.28"
"14","2014","6","Madhya Pradesh","Damoh","98.0","116.0","1183.67"
"14","2015","6","Madhya Pradesh","Damoh","103.0","135.0","1310.68"
"14","2016","6","Madhya Pradesh","Damoh","70.0","60.0","857.14"
"14","2017","6","Madhya Pradesh","Damoh","66.5","89.78","1350.08"
"15","2008","6","Madhya Pradesh","Tikamgarh","37.1","43.7","1177.9"
"15","2009","6","Madhya Pradesh","Tikamgarh","36.7","44.6","1215.26"
"15","2010","6","Madhya Pradesh","Tikamgarh","31.5","39.9","1266.67"
"15","2011","6","Madhya Pradesh","Tikamgarh","46.8","36.0","769.23"
"15","2012","6","Madhya Pradesh","Tikamgarh","54.17","38.45","709.8"
"15","2013","6","Madhya Pradesh","Tikamgarh","60.6","33.63","554.95"
"15","2014","6","Madhya Pradesh","Tikamgarh","76.0","126.0","1657.89"
"15","2015","6","Madhya Pradesh","Tikamgarh","47.0","29.0","617.02"
"15","2016","6","Madhya Pradesh","Tikamgarh","22.0","20.0","909.09"
"15","2017","6","Madhya Pradesh","Tikamgarh","23.5","13.49","574.04"
"16","2008","6","Madhya Pradesh","Chhatarpur","33.5","21.3","635.82"
"16","2009","6","Madhya Pradesh","Chhatarpur","41.6","26.3","632.21"
"16","2010","6","Madhya Pradesh","Chhatarpur","47.4","31.9","673.0"
"16","2011","6","Madhya Pradesh","Chhatarpur","48.9","19.6","400.82"
"16","2012","6","Madhya Pradesh","Chhatarpur","73.21","61.81","844.28"
"16","2013","6","Madhya Pradesh","Chhatarpur","88.29","52.77","597.69"
"16","2014","6","Madhya Pradesh","Chhatarpur","80.0","115.0","1437.5"
"16","2015","6","Madhya Pradesh","Chhatarpur","49.0","50.0","1020.41"
"16","2016","6","Madhya Pradesh","Chhatarpur","42.0","45.0","1071.43"
"16","2017","6","Madhya Pradesh","Chhatarpur","30.8","26.09","847.08"
"17","2008","6","Madhya Pradesh","Panna","5.3","3.6","679.25"
"17","2009","6","Madhya Pradesh","Panna","11.1","7.8","702.7"
"17","2010","6","Madhya Pradesh","Panna","8.8","7.8","886.36"
"17","2011","6","Madhya Pradesh","Panna","16.3","9.8","601.23"
"17","2012","6","Madhya Pradesh","Panna","17.03","14.6","857.31"
"17","2013","6","Madhya Pradesh","Panna","26.24","15.87","604.8"
"17","2014","6","Madhya Pradesh","Panna","35.0","41.0","1171.43"
"17","2015","6","Madhya Pradesh","Panna","29.0","18.0","620.69"
"17","2016","6","Madhya Pradesh","Panna","22.0","19.0","863.64"
"17","2017","6","Madhya Pradesh","Panna","17.5","19.3","1102.86"
"18","2008","6","Madhya Pradesh","Rewa","24.5","15.9","648.98"
"18","2009","6","Madhya Pradesh","Rewa","28.5","18.8","659.65"
"18","2010","6","Madhya Pradesh","Rewa","29.7","18.6","626.26"
"18","2011","6","Madhya Pradesh","Rewa","41.4","20.5","495.17"
"18","2012","6","Madhya Pradesh","Rewa","36.01","21.0","583.17"
"18","2013","6","Madhya Pradesh","Rewa","49.97","47.0","940.56"
"18","2014","6","Madhya Pradesh","Rewa","71.0","72.0","1014.08"
"18","2015","6","Madhya Pradesh","Rewa","54.0","38.0","703.7"
"18","2016","6","Madhya Pradesh","Rewa","48.0","41.0","854.17"
"18","2017","6","Madhya Pradesh","Rewa","42.5","38.85","914.12"
"19","2008","6","Madhya Pradesh","Sidhi","0.1","0.1","1000.0"
"19","2009","6","Madhya Pradesh","Sidhi","0.1","0.1","1000.0"
"19","2010","6","Madhya Pradesh","Sidhi","0.2","0.1","500.0"
"19","2011","6","Madhya Pradesh","Sidhi","0.2","0.1","500.0"
"19","2012","6","Madhya Pradesh","Sidhi","0.07","0.04","571.43"
"19","2013","6","Madhya Pradesh","Sidhi","0.27","0.13","481.48"
"19","2014","6","Madhya Pradesh","Sidhi","12.0","18.0","1500.0"
"19","2015","6","Madhya Pradesh","Sidhi","3.0","2.0","666.67"
"19","2016","6","Madhya Pradesh","Sidhi","0.0","0.0","0.0"
"19","2017","6","Madhya Pradesh","Sidhi","2.1","1.57","747.62"
"20","2008","6","Madhya Pradesh","Satna","51.4","28.5","554.47"
"20","2009","6","Madhya Pradesh","Satna","54.2","29.7","547.97"
"20","2010","6","Madhya Pradesh","Satna","46.4","31.8","685.34"
"20","2011","6","Madhya Pradesh","Satna","52.1","26.1","500.96"
"20","2012","6","Madhya Pradesh","Satna","55.29","28.15","509.13"
"20","2013","6","Madhya Pradesh","Satna","81.53","17.45","214.03"
"20","2014","6","Madhya Pradesh","Satna","72.0","147.0","2041.67"
"20","2015","6","Madhya Pradesh","Satna","81.0","36.0","444.44"
"20","2016","6","Madhya Pradesh","Satna","65.0","47.0","723.08"
"20","2017","6","Madhya Pradesh","Satna","59.8","34.8","581.94"
"21","2008","6","Madhya Pradesh","Shahdol","4.5","2.5","555.56"
"21","2009","6","Madhya Pradesh","Shahdol","6.6","3.3","500.0"
"21","2010","6","Madhya Pradesh","Shahdol","7.1","4.5","633.8"
"21","2011","6","Madhya Pradesh","Shahdol","17.6","7.2","409.09"
"21","2012","6","Madhya Pradesh","Shahdol","13.93","11.45","821.97"
"21","2013","6","Madhya Pradesh","Shahdol","27.21","19.51","717.02"
"21","2014","6","Madhya Pradesh","Shahdol","43.0","52.0","1209.3"
"21","2015","6","Madhya Pradesh","Shahdol","26.0","16.0","615.38"
"21","2016","6","Madhya Pradesh","Shahdol","22.0","24.0","1090.91"
"21","2017","6","Madhya Pradesh","Shahdol","19.3","8.46","438.34"
"22","2008","6","Madhya Pradesh","Gwalior","7.0","13.3","1900.0"
"22","2009","6","Madhya Pradesh","Gwalior","4.2","7.3","1738.1"
"22","2010","6","Madhya Pradesh","Gwalior","2.2","4.6","2090.91"
"22","2011","6","Madhya Pradesh","Gwalior","1.9","3.2","1684.21"
"22","2012","6","Madhya Pradesh","Gwalior","8.16","14.64","1794.12"
"22","2013","6","Madhya Pradesh","Gwalior","5.6","7.73","1380.36"
"22","2014","6","Madhya Pradesh","Gwalior","7.0","5.0","714.29"
"22","2015","6","Madhya Pradesh","Gwalior","4.0","5.0","1250.0"
"22","2016","6","Madhya Pradesh","Gwalior","4.0","4.0","1000.0"
"22","2017","6","Madhya Pradesh","Gwalior","1.7","2.62","1541.18"
"23","2008","6","Madhya Pradesh","Shivpuri","115.9","106.3","917.17"
"23","2009","6","Madhya Pradesh","Shivpuri","119.0","107.5","903.36"
"23","2010","6","Madhya Pradesh","Shivpuri","121.6","127.4","1047.7"
"23","2011","6","Madhya Pradesh","Shivpuri","123.7","121.5","982.22"
"23","2012","6","Madhya Pradesh","Shivpuri","162.79","148.36","911.36"
"23","2013","6","Madhya Pradesh","Shivpuri","186.22","117.08","628.72"
"23","2014","6","Madhya Pradesh","Shivpuri","150.0","244.0","1626.67"
"23","2015","6","Madhya Pradesh","Shivpuri","157.0","105.0","668.79"
"23","2016","6","Madhya Pradesh","Shivpuri","147.0","128.0","870.75"
"23","2017","6","Madhya Pradesh","Shivpuri","83.6","65.38","782.06"
"24","2008","6","Madhya Pradesh","Guna","230.7","243.3","1054.62"
"24","2009","6","Madhya Pradesh","Guna","254.1","269.2","1059.43"
"24","2010","6","Madhya Pradesh","Guna","277.8","311.9","1122.75"
"24","2011","6","Madhya Pradesh","Guna","261.4","337.1","1289.59"
"24","2012","6","Madhya Pradesh","Guna","353.37","547.06","1548.12"
"24","2013","6","Madhya Pradesh","Guna","409.99","300.79","733.65"
"24","2014","6","Madhya Pradesh","Guna","308.0","347.0","1126.62"
"24","2015","6","Madhya Pradesh","Guna","382.0","336.0","879.58"
"24","2016","6","Madhya Pradesh","Guna","347.0","261.0","752.16"
"24","2017","6","Madhya Pradesh","Guna","323.3","295.58","914.26"
"25","2008","6","Madhya Pradesh","Datia","0.3","0.2","666.67"
"25","2009","6","Madhya Pradesh","Datia","0.3","0.2","666.67"
"25","2010","6","Madhya Pradesh","Datia","0.3","0.3","1000.0"
"25","2011","6","Madhya Pradesh","Datia","0.32","0.2","625.0"
"25","2012","6","Madhya Pradesh","Datia","0.8","0.73","912.5"
"25","2013","6","Madhya Pradesh","Datia","1.77","1.45","819.21"
"25","2014","6","Madhya Pradesh","Datia","11.0","14.0","1272.73"
"25","2015","6","Madhya Pradesh","Datia","9.0","7.0","777.78"
"25","2016","6","Madhya Pradesh","Datia","7.0","4.0","571.43"
"25","2017","6","Madhya Pradesh","Datia","6.7","5.72","853.73"
"26","2008","6","Madhya Pradesh","Morena","13.9","18.4","1323.74"
"26","2009","6","Madhya Pradesh","Morena","10.0","11.5","1150.0"
"26","2010","6","Madhya Pradesh","Morena","8.3","9.9","1192.77"
"26","2011","6","Madhya Pradesh","Morena","14.4","14.3","993.06"
"26","2012","6","Madhya Pradesh","Morena","37.12","48.36","1302.8"
"26","2013","6","Madhya Pradesh","Morena","54.78","76.96","1404.89"
"26","2014","6","Madhya Pradesh","Morena","63.0","62.0","984.13"
"26","2015","6","Madhya Pradesh","Morena","46.0","46.0","1000.0"
"26","2016","6","Madhya Pradesh","Morena","40.0","46.0","1150.0"
"26","2017","6","Madhya Pradesh","Morena","40.2","33.17","825.12"
"27","2008","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2009","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2010","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2011","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2012","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2013","6","Madhya Pradesh","Bhind","0.12","0.14","1166.67"
"27","2014","6","Madhya Pradesh","Bhind","11.0","10.0","909.09"
"27","2015","6","Madhya Pradesh","Bhind","1.0","1.0","1000.0"
"27","2016","6","Madhya Pradesh","Bhind","0.0","0.0","0.0"
"27","2017","6","Madhya Pradesh","Bhind","0.5","1.0","2000.0"
"28","2008","6","Madhya Pradesh","Indore","221.0","335.2","1516.74"
"28","2009","6","Madhya Pradesh","Indore","226.8","401.5","1770.28"
"28","2010","6","Madhya Pradesh","Indore","223.1","192.3","861.95"
"28","2011","6","Madhya Pradesh","Indore","219.6","254.9","1160.75"
"28","2012","6","Madhya Pradesh","Indore","228.18","331.77","1453.98"
"28","2013","6","Madhya Pradesh","Indore","231.22","232.84","1007.01"
"28","2014","6","Madhya Pradesh","Indore","222.0","235.0","1058.56"
"28","2015","6","Madhya Pradesh","Indore","223.0","170.0","762.33"
"28","2016","6","Madhya Pradesh","Indore","221.0","351.0","1588.24"
"28","2017","6","Madhya Pradesh","Indore","216.9","198.46","914.98"
"29","2008","6","Madhya Pradesh","Ratlam","204.7","225.5","1101.61"
"29","2009","6","Madhya Pradesh","Ratlam","208.2","191.9","921.71"
"29","2010","6","Madhya Pradesh","Ratlam","210.7","188.6","895.11"
"29","2011","6","Madhya Pradesh","Ratlam","212.0","267.1","1259.91"
"29","2012","6","Madhya Pradesh","Ratlam","224.53","336.8","1500.02"
"29","2013","6","Madhya Pradesh","Ratlam","236.41","260.99","1103.97"
"29","2014","6","Madhya Pradesh","Ratlam","229.0","202.0","882.1"
"29","2015","6","Madhya Pradesh","Ratlam","230.0","206.0","895.65"
"29","2016","6","Madhya Pradesh","Ratlam","186.0","271.0","1456.99"
"29","2017","6","Madhya Pradesh","Ratlam","205.0","373.72","1823.02"
"30","2008","6","Madhya Pradesh","Ujjain","443.7","628.3","1416.05"
"30","2009","6","Madhya Pradesh","Ujjain","453.8","673.0","1483.03"
"30","2010","6","Madhya Pradesh","Ujjain","451.8","502.8","1112.88"
"30","2011","6","Madhya Pradesh","Ujjain","452.3","626.8","1385.81"
"30","2012","6","Madhya Pradesh","Ujjain","458.82","673.09","1467.0"
"30","2013","6","Madhya Pradesh","Ujjain","464.67","363.37","782.0"
"30","2014","6","Madhya Pradesh","Ujjain","433.0","300.0","692.84"
"30","2015","6","Madhya Pradesh","Ujjain","455.0","329.0","723.08"
"30","2016","6","Madhya Pradesh","Ujjain","459.0","673.0","1466.23"
"30","2017","6","Madhya Pradesh","Ujjain","446.9","467.9","1046.99"
"31","2008","6","Madhya Pradesh","Mandsaur","381.4","366.0","959.62"
"31","2009","6","Madhya Pradesh","Mandsaur","382.6","299.2","782.02"
"31","2010","6","Madhya Pradesh","Mandsaur","381.3","404.5","1060.84"
"31","2011","6","Madhya Pradesh","Mandsaur","376.8","451.1","1197.19"
"31","2012","6","Madhya Pradesh","Mandsaur","404.02","692.09","1713.01"
"31","2013","6","Madhya Pradesh","Mandsaur","416.27","455.36","1093.91"
"31","2014","6","Madhya Pradesh","Mandsaur","409.0","326.0","797.07"
"31","2015","6","Madhya Pradesh","Mandsaur","427.0","317.0","742.39"
"31","2016","6","Madhya Pradesh","Mandsaur","382.0","546.0","1429.32"
"31","2017","6","Madhya Pradesh","Mandsaur","383.5","460.46","1200.68"
"32","2008","6","Madhya Pradesh","Dewas","303.5","367.9","1212.19"
"32","2009","6","Madhya Pradesh","Dewas","306.6","394.0","1285.06"
"32","2010","6","Madhya Pradesh","Dewas","321.6","343.5","1068.1"
"32","2011","6","Madhya Pradesh","Dewas","323.0","402.5","1246.13"
"32","2012","6","Madhya Pradesh","Dewas","340.53","544.17","1598.01"
"32","2013","6","Madhya Pradesh","Dewas","350.96","267.43","762.0"
"32","2014","6","Madhya Pradesh","Dewas","309.0","209.0","676.38"
"32","2015","6","Madhya Pradesh","Dewas","337.0","210.0","623.15"
"32","2016","6","Madhya Pradesh","Dewas","319.0","473.0","1482.76"
"32","2017","6","Madhya Pradesh","Dewas","321.35","327.78","1020.01"
"33","2008","6","Madhya Pradesh","Dhar","260.1","375.9","1445.21"
"33","2009","6","Madhya Pradesh","Dhar","268.1","443.9","1655.73"
"33","2010","6","Madhya Pradesh","Dhar","267.9","340.3","1270.25"
"33","2011","6","Madhya Pradesh","Dhar","266.8","354.6","1329.09"
"33","2012","6","Madhya Pradesh","Dhar","277.79","442.52","1593.0"
"33","2013","6","Madhya Pradesh","Dhar","292.2","433.33","1482.99"
"33","2014","6","Madhya Pradesh","Dhar","269.0","241.0","895.91"
"33","2015","6","Madhya Pradesh","Dhar","288.0","377.0","1309.03"
"33","2016","6","Madhya Pradesh","Dhar","289.0","462.0","1598.62"
"33","2017","6","Madhya Pradesh","Dhar","279.43","360.74","1290.99"
"34","2008","6","Madhya Pradesh","Jhabua","51.1","38.8","759.3"
"34","2009","6","Madhya Pradesh","Jhabua","58.1","41.2","709.12"
"34","2010","6","Madhya Pradesh","Jhabua","62.9","48.9","777.42"
"34","2011","6","Madhya Pradesh","Jhabua","67.9","45.4","668.63"
"34","2012","6","Madhya Pradesh","Jhabua","68.22","67.12","983.88"
"34","2013","6","Madhya Pradesh","Jhabua","73.85","53.26","721.19"
"34","2014","6","Madhya Pradesh","Jhabua","116.0","151.0","1301.72"
"34","2015","6","Madhya Pradesh","Jhabua","86.0","112.0","1302.33"
"34","2016","6","Madhya Pradesh","Jhabua","86.0","132.0","1534.88"
"34","2017","6","Madhya Pradesh","Jhabua","80.1","111.26","1389.01"
"35","2008","6","Madhya Pradesh","Khargone / West Nimar","84.0","47.7","567.86"
"35","2009","6","Madhya Pradesh","Khargone / West Nimar","79.6","48.5","609.3"
"35","2010","6","Madhya Pradesh","Khargone / West Nimar","76.8","54.3","707.03"
"35","2011","6","Madhya Pradesh","Khargone / West Nimar","78.2","37.2","475.7"
"35","2012","6","Madhya Pradesh","Khargone / West Nimar","86.51","124.59","1440.18"
"35","2013","6","Madhya Pradesh","Khargone / West Nimar","92.89","81.92","881.9"
"35","2014","6","Madhya Pradesh","Khargone / West Nimar","220.0","296.0","1345.45"
"35","2015","6","Madhya Pradesh","Khargone / West Nimar","105.0","146.0","1390.48"
"35","2016","6","Madhya Pradesh","Khargone / West Nimar","99.0","152.0","1535.35"
"35","2017","6","Madhya Pradesh","Khargone / West Nimar","97.9","114.38","1168.34"
"36","2008","6","Madhya Pradesh","Khandwa / East Nimar","168.6","127.5","756.23"
"36","2009","6","Madhya Pradesh","Khandwa / East Nimar","169.5","108.1","637.76"
"36","2010","6","Madhya Pradesh","Khandwa / East Nimar","180.5","128.9","714.13"
"36","2011","6","Madhya Pradesh","Khandwa / East Nimar","178.0","95.1","534.27"
"36","2012","6","Madhya Pradesh","Khandwa / East Nimar","199.48","175.53","879.94"
"36","2013","6","Madhya Pradesh","Khandwa / East Nimar","207.58","178.14","858.18"
"36","2014","6","Madhya Pradesh","Khandwa / East Nimar","44.0","38.0","863.64"
"36","2015","6","Madhya Pradesh","Khandwa / East Nimar","197.0","103.0","522.84"
"36","2016","6","Madhya Pradesh","Khandwa / East Nimar","178.0","242.0","1359.55"
"36","2017","6","Madhya Pradesh","Khandwa / East Nimar","173.6","145.93","840.61"
"37","2008","6","Madhya Pradesh","Sehore","386.5","503.3","1302.2"
"37","2009","6","Madhya Pradesh","Sehore","387.7","571.7","1474.59"
"37","2010","6","Madhya Pradesh","Sehore","390.7","686.9","1758.13"
"37","2011","6","Madhya Pradesh","Sehore","418.2","493.4","1179.82"
"37","2012","6","Madhya Pradesh","Sehore","419.14","542.06","1293.27"
"37","2013","6","Madhya Pradesh","Sehore","426.49","223.22","523.39"
"37","2014","6","Madhya Pradesh","Sehore","303.0","372.0","1227.72"
"37","2015","6","Madhya Pradesh","Sehore","393.0","229.0","582.7"
"37","2016","6","Madhya Pradesh","Sehore","358.0","491.0","1371.51"
"37","2017","6","Madhya Pradesh","Sehore","365.2","316.52","866.7"
"38","2008","6","Madhya Pradesh","Raisen","116.6","129.2","1108.06"
"38","2009","6","Madhya Pradesh","Raisen","123.3","141.1","1144.36"
